,Country,country_code,country,year,HIV_deaths,population,health_budget_prop
0,Angola,AGO,Angola,2001,10000.0,16700000.0,6.06
1,Angola,AGO,Angola,2002,11000.0,17300000.0,3.74
2,Angola,AGO,Angola,2003,12000.0,17900000.0,4.83
3,Angola,AGO,Angola,2004,12000.0,18600000.0,4.12
4,Angola,AGO,Angola,2005,13000.0,19300000.0,4.38
5,Angola,AGO,Angola,2006,13000.0,20000000.0,6.06
6,Angola,AGO,Angola,2007,13000.0,20800000.0,5.75
7,Angola,AGO,Angola,2008,12000.0,21600000.0,6.4
8,Angola,AGO,Angola,2009,11000.0,22400000.0,10.1
9,Angola,AGO,Angola,2010,,23300000.0,7.18
10,Benin,BEN,Benin,2001,3100.0,7450000.0,12.0
11,Benin,BEN,Benin,2002,3300.0,7680000.0,9.67
12,Benin,BEN,Benin,2003,3500.0,7910000.0,10.7
13,Benin,BEN,Benin,2004,3600.0,8160000.0,10.8
14,Benin,BEN,Benin,2005,3700.0,8430000.0,11.1
15,Benin,BEN,Benin,2006,3500.0,8690000.0,12.1
16,Benin,BEN,Benin,2007,3200.0,8950000.0,9.9
17,Benin,BEN,Benin,2008,3100.0,9230000.0,9.4
18,Benin,BEN,Benin,2009,2700.0,9510000.0,9.2
19,Benin,BEN,Benin,2010,,9800000.0,9.6
20,Botswana,BWA,Botswana,2001,15000.0,1710000.0,9.74
21,Botswana,BWA,Botswana,2002,16000.0,1740000.0,10.6
22,Botswana,BWA,Botswana,2003,17000.0,1780000.0,10.1
23,Botswana,BWA,Botswana,2004,15000.0,1810000.0,17.3
24,Botswana,BWA,Botswana,2005,12000.0,1840000.0,16.9
25,Botswana,BWA,Botswana,2006,10000.0,1870000.0,16.4
26,Botswana,BWA,Botswana,2007,9200.0,1910000.0,18.4
27,Botswana,BWA,Botswana,2008,7900.0,1950000.0,16.6
28,Botswana,BWA,Botswana,2009,5800.0,1990000.0,17.0
29,Botswana,BWA,Botswana,2010,,2029999.9999999998,17.0
30,Burkina Faso,BFA,Burkina Faso,2001,15000.0,12300000.0,9.81
31,Burkina Faso,BFA,Burkina Faso,2002,14000.0,12700000.0,11.9
32,Burkina Faso,BFA,Burkina Faso,2003,14000.0,13100000.0,12.5
33,Burkina Faso,BFA,Burkina Faso,2004,13000.0,13500000.0,15.3
34,Burkina Faso,BFA,Burkina Faso,2005,12000.0,13900000.0,18.7
35,Burkina Faso,BFA,Burkina Faso,2006,10000.0,14400000.0,16.2
36,Burkina Faso,BFA,Burkina Faso,2007,9300.0,14800000.0,14.8
37,Burkina Faso,BFA,Burkina Faso,2008,8300.0,15300000.0,16.3
38,Burkina Faso,BFA,Burkina Faso,2009,7100.0,15700000.0,13.6
39,Burkina Faso,BFA,Burkina Faso,2010,,16200000.0,13.5
40,Burundi,BDI,Burundi,2001,14000.0,6630000.0,8.29
41,Burundi,BDI,Burundi,2002,15000.0,6820000.0,8.23
42,Burundi,BDI,Burundi,2003,15000.0,7040000.0,5.43
43,Burundi,BDI,Burundi,2004,15000.0,7310000.0,9.15
44,Burundi,BDI,Burundi,2005,15000.0,7590000.0,11.6
45,Burundi,BDI,Burundi,2006,15000.0,7870000.0,13.2
46,Burundi,BDI,Burundi,2007,15000.0,8160000.0,11.8
47,Burundi,BDI,Burundi,2008,15000.0,8510000.0,8.16
48,Burundi,BDI,Burundi,2009,15000.0,8950000.0,8.14
49,Burundi,BDI,Burundi,2010,,9380000.0,8.14
50,Cameroon,CMR,Cameroon,2001,31000.0,15300000.0,6.79
51,Cameroon,CMR,Cameroon,2002,33000.0,15700000.0,7.94
52,Cameroon,CMR,Cameroon,2003,35000.0,16200000.0,8.21
53,Cameroon,CMR,Cameroon,2004,36000.0,16600000.000000002,7.07
54,Cameroon,CMR,Cameroon,2005,38000.0,17100000.0,7.67
55,Cameroon,CMR,Cameroon,2006,39000.0,17600000.0,7.41
56,Cameroon,CMR,Cameroon,2007,38000.0,18000000.0,6.77
57,Cameroon,CMR,Cameroon,2008,37000.0,18600000.0,5.57
58,Cameroon,CMR,Cameroon,2009,37000.0,19100000.0,7.34
59,Cameroon,CMR,Cameroon,2010,,19700000.0,8.53
60,Central African Republic,CAF,Central African Republic,2001,15000.0,3920000.0,11.5
61,Central African Republic,CAF,Central African Republic,2002,15000.0,4010000.0,10.2
62,Central African Republic,CAF,Central African Republic,2003,16000.0,4099999.9999999995,12.5
63,Central African Republic,CAF,Central African Republic,2004,16000.0,4190000.0000000005,11.0
