,Country,country_code,country,year,HIV_deaths,population,health_budget_prop,HIV_mortality
430,Zimbabwe,ZWE,Zimbabwe,2001,150000.0,12000000.0,9.3,1250.0
20,Botswana,BWA,Botswana,2001,15000.0,1710000.0,9.7,877.2
210,Lesotho,LSO,Lesotho,2001,14000.0,2000000.0,9.0,700.0
420,Zambia,ZMB,Zambia,2001,68000.0,10300000.0,10.5,660.2
140,Eswatini,SWZ,Eswatini,2001,6700.0,1050000.0,10.2,638.1
240,Malawi,MWI,Malawi,2001,63000.0,11600000.0,8.7,543.1
290,Namibia,NAM,Namibia,2001,8600.0,1860000.0,10.3,462.4
370,South Africa,ZAF,South Africa,2001,210000.0,47600000.0,11.2,441.2
410,Uganda,UGA,Uganda,2001,100000.0,24700000.0,9.7,404.9
60,Central African Republic,CAF,Central African Republic,2001,15000.0,3920000.0,11.5,382.7
200,Kenya,KEN,Kenya,2001,120000.0,31600000.0,8.4,379.7
390,Tanzania,TZA,Tanzania,2001,130000.0,35200000.0,11.2,369.3
100,Cote d'Ivoire,CIV,Cote d'Ivoire,2001,51000.0,18200000.0,5.6,280.2
320,Rwanda,RWA,Rwanda,2001,21000.0,8290000.0,9.8,253.3
280,Mozambique,MOZ,Mozambique,2001,43000.0,18500000.0,14.8,232.4
40,Burundi,BDI,Burundi,2001,14000.0,6630000.0,8.3,211.2
50,Cameroon,CMR,Cameroon,2001,31000.0,15300000.0,6.8,202.6
90,Congo (Brazzaville),COG,"Congo, Rep.",2001,5800.0,3270000.0,4.2,177.4
150,Gabon,GAB,Gabon,2001,2000.0,1310000.0,4.0,152.7
220,Liberia,LBR,Liberia,2001,3900.0,3020000.0,11.5,129.1
30,Burkina Faso,BFA,Burkina Faso,2001,15000.0,12300000.0,9.8,122.0
400,Togo,TGO,Togo,2001,6400.0,5280000.0,8.5,121.2
310,Nigeria,NGA,Nigeria,2001,150000.0,130000000.0,3.2,115.4
70,Chad,TCD,Chad,2001,8900.0,8800000.0,13.8,101.1
